what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1471834180533
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1471834180533
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1471834180533
java.specification.name,sysinfo,,,"Java Platform API Specification",1471834180533
java.specification.vendor,sysinfo,,,"Oracle Corporation",1471834180533
java.specification.version,sysinfo,,,"1.7",1471834180533
java.vendor,sysinfo,,,"Oracle Corporation",1471834180533
java.version,sysinfo,,,"1.7.0_79",1471834180533
java.vm.info,sysinfo,,,"mixed mode",1471834180533
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1471834180533
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1471834180533
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1471834180533
java.vm.specification.version,sysinfo,,,"1.7",1471834180533
java.vm.vendor,sysinfo,,,"Oracle Corporation",1471834180533
java.vm.version,sysinfo,,,"24.79-b02",1471834180533
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1471834181687
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1471834181719
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1471834181937
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1471834182187
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1471834182218
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1471834182265
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1471834182265
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1471834182358
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1471834182389
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1471834182545
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1471834183325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834210033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834222091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834261435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834267737
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1471834270186
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1471834270561
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1471834270842
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1471834270888
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1471834270998
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1471834271185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834271902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834272698
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471834274463
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471834274494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471834278316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834284712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834345146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834402055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834410339
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1471834412835
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1471834413537
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1471834414395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834414957
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1471834415939
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1471834417328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834417624
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1471834418747
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1471834434051
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1471834434051
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1471834434067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834438591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834454347
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1471834457435
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1471834457467
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1471834457529
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1471834457560
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1471834457669
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1471834457685
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1471834457701
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1471834457779
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1471834457794
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1471834457935
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1471834457935
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1471834458278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471834458465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834490055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834493191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834514766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834521084
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1471834522456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834528353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834535607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471834573328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834577946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834578819
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1471834579225
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1471834579240
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1471834579350
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1471834579365
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1471834579381
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1471834579396
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1471834579396
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1471834579443
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1471834579443
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1471834579802
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471834580504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471834586635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834587789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834595745
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471834598413
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471834604731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834607211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834613295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834614434
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471834615464
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471834618818
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1471834665415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834666944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834667646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834669221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834670189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834671000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471834671593
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1471834799794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834838341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471834860306
