what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1472479441401
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1472479441401
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1472479441401
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1472479441401
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1472479441401
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1472479441401
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1472479441401
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1472479441401
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1472479441401
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1472479441401
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1472479441401
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1472479441401
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1472479441401
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1472479441401
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1472479441401
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1472479441401
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1472479441401
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1472479441401
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1472479441401
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1472479441416
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1472479441416
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1472479441416
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1472479441416
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1472479441416
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1472479441416
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1472479441416
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1472479441416
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1472479441416
os,sysinfo,,,"win32",1472479441416
arch,sysinfo,,,"x86_64",1472479441416
ws,sysinfo,,,"win32",1472479441416
locale,sysinfo,,,"en_US",1472479441416
processors,sysinfo,,,"2",1472479441416
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1472479441416
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1472479441416
java.specification.name,sysinfo,,,"Java Platform API Specification",1472479441416
java.specification.vendor,sysinfo,,,"Oracle Corporation",1472479441416
java.specification.version,sysinfo,,,"1.7",1472479441416
java.vendor,sysinfo,,,"Oracle Corporation",1472479441416
java.version,sysinfo,,,"1.7.0_79",1472479441416
java.vm.info,sysinfo,,,"mixed mode",1472479441416
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1472479441416
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1472479441416
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1472479441416
java.vm.specification.version,sysinfo,,,"1.7",1472479441416
java.vm.vendor,sysinfo,,,"Oracle Corporation",1472479441416
java.vm.version,sysinfo,,,"24.79-b02",1472479441416
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1472479441666
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1472479441682
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1472479441697
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1472479442165
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1472479442165
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1472479442165
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472479442212
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1472479442321
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472479442368
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1472479442602
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472479442649
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1472479454957
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1472479454988
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472479487140
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1472479490681
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1472479493364
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1472479493489
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1472479496157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479496219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479500228
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1472479500899
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1472479501180
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1472479501274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479504847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479517133
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1472479535793
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1472479540847
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1472479540878
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1472479545371
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1472479545387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479680171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479865484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479871912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479872021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479881412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479881412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479881459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472479881490
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472479881584
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472479881662
