what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1472010323147
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1472010323396
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1472010323532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472010323799
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472010330580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472010330635
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472010342542
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1472010353689
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1472010353704
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1472010353752
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1472010353753
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1472010353808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010359000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010410720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1472010410736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472010414083
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472010418305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010426282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010441435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010449737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010450666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010451433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472010460187
